init_hand_pos 1.5 20 0 0 -30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 90
hand_pose3 4.0 -2.2 2.0 -25.5 -3.4 25.4 -14.8 -0.0 -4.5 -2.1 38.8 -3.1 -27.6 -15.8 3.8 0 0 0 0 0 0 0 0 0 0 0 0
hand_pose4 5.0 -2.3 2.1 -25.4 -3.4 25.6 -14.7 0.0 -4.9 -2.2 39.1 -3.6 -27.2 -16.0 4.0 0 0 0 0 0 0 0 0 0 0 0 0
hand_pose5 6.0 -2.5 1.9 -25.5 -3.5 25.5 -14.7 0.0 -5.3 -2.6 38.7 -3.9 -27.6 -16.8 4.3 0 0 0 0 0 0 0 0 0 0 0 0
hand_pose6 7.0 -2.0 2.2 -25.1 -3.8 26.1 -15.0 -0.1 -16.4 -1.3 25.6 -17.1 -42.0 -29.7 22.9 0 0 0 0 0 0 0 0 0 0 0 0
hand_pose7 8.1 -3.0 1.9 -25.6 -3.5 25.9 -13.6 1.0 -5.9 -4.8 2.5 -62.3 -83.4 -13.3 21.0 0 0 0 0 0 0 0 0 0 0 0 0
hand_pose8 9.1 -2.5 1.8 -25.7 -3.7 26.0 -14.2 1.8 1.1 -7.0 -6.8 -73.8 -90.0 -17.0 15.4 0 0 0 0 0 0 0 0 0 0 0 0
hand_pose9 10.1 -2.4 3.2 -27.7 -4.4 28.7 -14.1 1.4 11.0 -18.0 -51.6 -69.0 -90.0 -17.9 15.4 0 0 0 0 0 0 0 0 0 0 0 0
hand_pose10 11.1 -1.0 3.5 -26.8 -3.6 29.6 -15.6 1.4 15.4 -21.6 -60.7 -61.7 -90.0 -15.1 20.7 0 0 0 0 0 0 0 0 0 0 0 0
hand_pose11 12.1 -1.7 1.5 -28.4 -3.9 28.1 -15.0 2.7 -7.7 -13.8 -18.6 -66.4 -83.1 -13.6 12.6 0 0 0 0 0 0 0 0 0 0 0 0
hand_pose12 13.1 -1.7 1.7 -28.1 -4.0 28.3 -15.0 1.6 -6.6 -7.5 17.5 -64.6 -73.4 -9.8 13.9 0 0 0 0 0 0 0 0 0 0 0 0
hand_pose13 14.1 -1.6 1.7 -28.2 -3.8 28.1 -15.5 0.8 -11.9 -10.0 44.1 -33.7 -23.9 -30.8 -2.7 0 0 0 0 0 0 0 0 0 0 0 0
hand_pose14 15.1 -1.6 3.4 -28.0 -3.6 28.3 -15.1 -0.4 -2.5 -3.3 33.2 -4.1 -38.8 -23.2 15.6 0 0 0 0 0 0 0 0 0 0 0 0
hand_pose15 16.1 -1.0 3.3 -27.8 -3.6 28.6 -14.9 -0.6 0.4 -4.1 32.6 -3.5 -39.6 -20.2 16.1 0 0 0 0 0 0 0 0 0 0 0 0
hand_pose16 17.1 -0.7 2.9 -27.2 -3.7 29.3 -15.5 -0.6 -0.2 -4.4 32.9 -4.0 -39.2 -20.6 16.1 0 0 0 0 0 0 0 0 0 0 0 0
hand_pose17 18.1 -1.2 3.0 -27.2 -3.7 29.3 -15.4 -0.6 -1.0 -4.9 32.8 -4.1 -39.3 -20.8 16.3 0 0 0 0 0 0 0 0 0 0 0 0
hand_pose17 19.1 -1.2 3.0 -27.2 -3.7 29.3 -15.4 -0.6 -1.0 -4.9 32.8 -4.1 -39.3 -20.8 16.3 0 0 0 0 0 0 0 0 0 0 0 0
邀请_pose4 22.0 20 8 0 -30 0 0 0 -75.0 -56.6 41.9 -10.7 -66.2 -23.1 27.6 0 0 0 0 0 0 0 0 0 0 0 0
邀请_pose6 25 20 8 0 -30 0 0 0 20 -8 0 -30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
